Core 0 Temp,Core 1 Temp,Core 2 Temp,Core 3 Temp,Core 4 Temp,Core 5 Temp,Core 6 Temp,Core 7 Temp,,Core 0,Low temp_0,High temp_0,Core_load_0,Core_speed_0,Core 1,Low temp_1,High temp_1,Core load_1,Core speed_1,Core 2,Low temp_2,High temp_2,Core load_2,Core speed_2,Core 3,Low temp_3,High temp_3,Core load_3,Core speed_3,Core 4,Low temp_4,High temp_4,Core load_4,Core speed_4,Core 5,Low temp_5,High temp_5,Core load_5,Core speed_5,Core 6,Low temp_6,High temp_6,Core load_6,Core speed_6,Core 7,Low temp_7,High temp_7 ,Core load_7,Core speed_7,CPU 0 Power
51,61,47,50,46,48,48,46,,,34,60,10,4588.78,,34,65,45,4588.78,,34,66,1,4588.78,,34,62,1,4588.78,,34,61,3,4588.78,,35,63,2,4588.78,,34,63,0,4588.78,,35,64,2,4588.78,24.5
64,61,50,52,48,50,49,48,,,34,64,37,4489.02,,34,65,49,4489.02,,34,66,12,4489.02,,34,62,0,4489.02,,34,61,0,4489.02,,35,63,2,4489.02,,34,63,0,4489.02,,35,64,2,4489.02,32.8
52,59,51,51,48,49,48,47,,,34,64,11,4588.78,,34,65,47,4588.78,,34,66,3,4588.78,,34,62,0,4588.78,,34,61,1,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,1,4588.78,26.8
51,60,47,51,47,49,48,47,,,34,64,9,4489.02,,34,65,48,4588.78,,34,66,0,4489.02,,34,62,0,4489.02,,34,61,1,4588.78,,35,63,4,4588.78,,34,63,0,4588.78,,35,64,0,4588.78,25.2
51,60,47,51,47,49,48,47,,,34,64,9,4588.78,,34,65,47,4588.78,,34,66,0,4588.78,,34,62,1,4588.78,,34,61,0,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,0,4588.78,25
51,60,47,51,47,49,49,47,,,34,64,14,4588.78,,34,65,47,4588.78,,34,66,2,4588.78,,34,62,0,4588.78,,34,61,1,4588.78,,35,63,1,4588.78,,34,63,2,4588.78,,35,64,3,4588.78,25.1
50,61,47,50,46,48,47,46,,,34,64,18,4289.51,,34,65,45,4389.26,,34,66,1,4489.02,,34,62,0,4389.26,,34,61,0,4489.02,,35,63,0,4090,,34,63,0,4389.26,,35,64,0,4489.02,24.8
51,60,47,50,46,48,48,47,,,34,64,8,4289.51,,34,65,44,4588.78,,34,66,2,4588.78,,34,62,0,4588.78,,34,61,1,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,1,4489.02,24.2
51,62,47,51,47,49,49,47,,,34,64,10,4489.02,,34,65,47,4588.78,,34,66,0,4588.78,,34,62,0,4588.78,,34,61,0,4588.78,,35,63,1,4588.78,,34,63,1,4588.78,,35,64,2,4588.78,24.9
48,48,46,57,45,48,47,47,,,34,64,3,4588.78,,34,65,18,4588.78,,34,66,6,4588.78,,34,62,22,4588.78,,34,61,0,4489.02,,35,63,4,4489.02,,34,63,4,4489.02,,35,64,7,4588.78,23.5
54,51,53,56,56,60,52,55,,,34,64,31,4090,,34,65,33,4090,,34,66,26,4090,,34,62,34,4090,,34,61,36,4090,,35,63,26,4090,,34,63,28,4090,,35,64,25,4090,46.1
41,41,41,41,41,41,42,42,,,34,64,0,897.8,,34,65,0,897.8,,34,66,1,897.8,,34,62,0,897.8,,34,61,0,897.8,,35,63,1,897.8,,34,63,0,897.8,,35,64,1,897.8,1.7
41,41,41,41,40,42,41,42,,,34,64,5,4489.02,,34,65,1,4489.02,,34,66,2,4489.02,,34,62,5,4489.02,,34,61,5,4489.02,,35,63,5,4489.02,,34,63,4,4489.02,,35,64,5,4489.02,12.7
40,41,41,41,40,41,40,41,,,34,64,6,2094.88,,34,65,16,2094.88,,34,66,8,2094.88,,34,62,2,2094.88,,34,61,3,4688.53,,35,63,1,4688.53,,34,63,4,4688.53,,35,64,9,4688.53,20.2
39,40,39,39,39,39,39,39,,,34,64,0,997.56,,34,65,2,997.56,,34,66,1,4788.29,,34,62,0,4688.53,,34,61,1,4788.29,,35,63,0,4788.29,,34,63,0,4788.29,,35,64,1,4788.29,1.7
38,39,38,39,38,39,39,39,,,34,64,2,997.56,,34,65,2,997.56,,34,66,0,997.56,,34,62,0,997.56,,34,61,1,997.56,,35,63,1,997.56,,34,63,0,997.56,,35,64,1,997.56,2
43,55,42,44,41,44,42,41,,,34,64,2,4588.78,,34,65,43,4588.78,,34,66,2,4489.02,,34,62,0,4588.78,,34,61,2,4588.78,,35,63,0,4588.78,,34,63,0,4588.78,,35,64,3,4688.53,21.1
47,56,45,46,43,45,45,43,,,34,64,13,4588.78,,34,65,47,4588.78,,34,66,5,4588.78,,34,62,1,4588.78,,34,61,1,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,1,4588.78,24.3
48,58,45,48,44,47,46,46,,,34,64,7,4489.02,,34,65,48,4588.78,,34,66,2,4588.78,,34,62,0,4588.78,,34,61,1,4588.78,,35,63,1,4588.78,,34,63,1,4588.78,,35,64,1,4588.78,24.3
62,59,49,51,47,49,48,46,,,34,64,29,4389.26,,34,65,46,4489.02,,34,66,18,4489.02,,34,62,0,4489.02,,34,61,10,4489.02,,35,63,4,4489.02,,34,63,2,4489.02,,35,64,2,4489.02,35.1
50,58,47,49,46,49,47,46,,,34,64,11,4489.02,,34,65,46,4489.02,,34,66,1,4489.02,,34,62,0,4489.02,,34,61,2,4489.02,,35,63,0,4489.02,,34,63,0,4489.02,,35,64,0,4489.02,25.1
51,60,47,50,46,48,48,46,,,34,64,12,4588.78,,34,65,47,4588.78,,34,66,0,4588.78,,34,65,0,4588.78,,34,61,2,4588.78,,35,63,0,4588.78,,34,63,0,4588.78,,35,64,1,4588.78,24.5
50,59,47,50,46,49,48,47,,,34,64,15,4489.02,,34,65,44,4489.02,,34,66,5,4489.02,,34,65,0,4489.02,,34,61,3,4489.02,,35,63,2,4389.26,,34,63,0,4489.02,,35,64,0,4489.02,25.8
50,61,47,50,47,49,48,46,,,34,64,7,4588.78,,34,65,46,4489.02,,34,66,1,4489.02,,34,65,0,4588.78,,34,61,2,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,2,4588.78,24.3
50,61,47,51,47,49,48,47,,,34,64,15,4389.26,,34,65,45,4588.78,,34,66,1,4489.02,,34,65,0,4588.78,,34,61,1,4588.78,,35,63,3,4588.78,,34,63,0,4588.78,,35,64,1,4588.78,24
52,60,51,51,50,51,49,48,,,34,64,12,4389.26,,34,65,45,4389.26,,34,66,8,4389.26,,34,65,6,4389.26,,34,61,4,4389.26,,35,63,3,4389.26,,34,63,3,4389.26,,35,64,1,4389.26,27.4
51,60,50,52,49,51,50,48,,,34,64,11,4389.26,,34,65,42,4389.26,,34,66,11,4389.26,,34,65,10,4389.26,,34,61,5,4389.26,,35,63,5,4389.26,,34,63,1,4389.26,,35,64,0,4389.26,29.2
53,60,50,52,51,51,50,48,,,34,64,16,4389.26,,34,65,43,4389.26,,34,66,11,4389.26,,34,65,11,4389.26,,34,61,4,4389.26,,35,63,3,4389.26,,34,63,0,4389.26,,35,64,0,4389.26,27.2
52,61,50,54,49,51,50,49,,,34,64,8,4389.26,,34,65,43,4389.26,,34,66,8,4389.26,,34,65,10,4389.26,,34,61,5,4389.26,,35,63,3,4389.26,,34,63,5,4389.26,,35,64,1,4389.26,27.7
52,59,51,52,50,51,50,52,,,34,64,12,4090,,34,65,46,4090,,34,66,1,4090,,34,65,2,4090,,34,61,0,4090,,35,63,0,4090,,34,63,0,4090,,35,64,0,4090,24.8
52,60,49,52,48,51,49,48,,,34,64,12,4588.78,,34,65,49,4588.78,,34,66,1,4489.02,,34,65,0,4588.78,,34,61,0,4588.78,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,1,4489.02,24.7
51,62,48,51,48,50,50,47,,,34,64,12,4489.02,,34,65,44,4588.78,,34,66,0,4489.02,,34,65,0,4489.02,,34,61,1,4489.02,,35,63,1,4588.78,,34,63,0,4588.78,,35,64,0,4588.78,24.8
51,61,48,51,47,53,49,47,,,34,64,15,4588.78,,34,65,46,4588.78,,34,66,0,4588.78,,34,65,0,4588.78,,34,61,0,4588.78,,35,63,0,4489.02,,34,63,0,4588.78,,35,64,1,4588.78,25.2
52,61,48,51,47,50,49,47,,,34,64,7,4588.78,,34,65,45,4588.78,,34,66,1,4588.78,,34,65,0,4588.78,,34,61,1,4588.78,,35,63,2,4588.78,,34,63,12,4588.78,,35,64,3,4588.78,30.2
51,62,48,51,48,50,49,48,,,34,64,11,4588.78,,34,65,43,4588.78,,34,66,0,4588.78,,34,65,0,4588.78,,34,61,3,4588.78,,35,63,0,4588.78,,34,63,9,4588.78,,35,64,0,4588.78,25.2
